#OK
#SQL=     
#	 SELECT          
#	     gal.GalaxyID as id,
#	     (mag.u_nodust - mag.g_nodust) as ug,
#	     (mag.g_nodust - mag.i_nodust) as gi
#	 FROM   
#	     RefL0100N1504_SubHalo as gal,  
#	     RefL0100N1504_Magnitudes as mag,  
#	     RefL0100N1504_Aperture as ape  
#	 WHERE    
#	     gal.SnapNum = 27 and        
#	     ape.Mass_Star > 1e10 and    
#	     ape.ApertureSize = 30 and   
#	
#	     gal.GalaxyID = mag.GalaxyID and  
#	     gal.GalaxyID = ape.GalaxyID
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 2662 millisec
#COLUMN 1 name=id JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=ug JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=gi JDBC_TYPE=7 JDBC_TYPENAME=real
id,ug,gi
2045967,1.228157,0.9100418
2047699,1.6316395,1.1237602
2075221,0.97844315,0.6780224
2082099,1.1791649,0.90976334
2120454,0.86958504,0.56946373
2297047,1.5647831,1.0869617
2304937,1.0407772,0.82826805
2318347,0.8499031,0.6344719
2334226,0.82512856,0.5369377
2339507,0.82987213,0.5662651
2363904,0.96323395,0.71531105
2389393,0.86247444,0.63240814
2631022,1.7454491,1.1735859
2632460,1.6298008,1.0993118
2638164,1.6376209,1.108923
2642937,1.622551,1.0972271
2645762,1.3558521,0.99785423
2653575,1.6278038,1.1036015
2663001,1.6588917,1.1145248
2727612,1.7481651,1.1615925
2748528,0.9465351,0.6188755
2760302,0.84746933,0.57250977
2769527,1.0712662,0.7987175
3274716,1.8171806,1.2073593
3431983,1.733818,1.1606045
3435558,1.6708775,1.1298447
3436085,1.5727367,1.0358009
3458705,1.1775475,0.8465214
3461245,1.6707096,1.138237
3467012,1.6943283,1.138567
3467929,1.6876888,1.1342602
3477851,1.7154999,1.1541138
3480007,1.7252655,1.1525478
3521602,1.7759056,1.1919384
3527041,1.6644039,1.1286926
3531105,1.7352962,1.1686401
3531688,1.6639404,1.1206646
3537188,1.6232567,1.0936146
3540463,1.6947899,1.1448174
3545253,1.6021461,1.0827599
3550458,1.7208881,1.1564693
4209798,1.3655167,0.93621254
4534539,1.6157646,1.0938644
4535967,1.297369,0.93460655
4559080,1.4284687,0.99093246
4560273,1.6219044,1.0885906
4562581,1.7057743,1.1434784
4576044,1.6767006,1.121439
4580964,1.664114,1.1120491
5297362,1.3159103,0.9398842
5298387,1.5762157,1.05933
5956833,1.7088871,1.1506214
5960126,1.6760845,1.1368122
5963335,1.269455,0.9077301
5988782,1.6318245,1.0750637
6004915,1.399147,0.9954281
6024688,1.6307793,1.0994034
6037179,1.6743202,1.1323624
6038360,1.6356106,1.0770569
6643600,1.3291779,0.9492588
6650954,1.6287518,1.0880146
7135148,1.5918217,1.0487251
7143602,1.6366253,1.0775948
7164803,1.6778164,1.1242943
7173185,1.3148365,0.96432686
7174790,1.6884365,1.1288757
7190132,1.6373882,1.0969944
7197620,1.5737438,1.0712013
7206719,1.681675,1.121872
8206768,1.7030449,1.1483192
8222576,1.4087029,1.0175858
8228662,1.273674,0.9374962
8237250,0.9881954,0.7287102
8255217,1.5137157,1.0118389
8257781,0.91740036,0.6368313
8264929,0.90247154,0.6016083
8269571,1.2028408,0.8603363
8271405,1.6470528,1.1000786
8279116,1.545269,1.0939255
8280928,1.1943474,0.88020706
8282541,0.9688759,0.68540573
8283638,0.95780945,0.71178436
8288574,0.90971375,0.6221256
8292328,1.1019363,0.8181381
8294142,1.1842842,0.86236763
8295058,1.5748596,1.0815105
8297952,1.0333366,0.7992573
8299822,1.6848564,1.1368389
8302236,1.0194187,0.7264805
8303524,0.9725361,0.71768
8304409,1.4432526,0.95280266
8307241,0.91916656,0.63575363
8312526,1.2279663,0.88802147
8319460,1.0276775,0.7802334
8322066,0.8755512,0.6016674
8323311,0.83327675,0.53588486
