#OK
#SQL= SELECT              
#	         gal.GalaxyID          as id,    
#	         gal.HalfMassRad_Star  as half_mass_r,    
#	         gal.MassType_Star     as mass,    
#	         gal.StarFormationRate as sfr,  
#	         gal.SubGroupNumber    as subgroup_number  
#	     FROM       
#	         RefL0100N1504_SubHalo as gal      
#	     WHERE        
#	         gal.Snapnum = 27
#	     AND
#	         gal.StarFormationRate > 0
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 23 millisec
#COLUMN 1 name=id JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=half_mass_r JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=mass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=sfr JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=subgroup_number JDBC_TYPE=4 JDBC_TYPENAME=int
id,half_mass_r,mass,sfr,subgroup_number
360595,4.852227,2.629269E7,0.003901954,0
360763,4.0828757,1.1751686E7,0.013810991,0
361041,2.9037395,5.9217796E7,0.0023816158,0
361700,2.855147,2.9965276E7,0.006497796,0
361803,2.3797288,6.3547872E7,0.0049291966,0
362163,2.28082,7.6228904E7,0.023084253,0
362434,2.3481853,5.1302364E7,0.0054442496,0
362596,2.9431775,4.257176E7,0.0066699474,0
362868,4.7073665,3310315.2,0.010853819,0
363049,2.8926396,5.2959964E7,0.016984027,0
363913,3.6247969,5.7369072E7,0.004222581,0
364120,2.784618,1.90190304E8,0.021141957,0
364473,4.848646,4.4915696E7,0.014518948,0
364664,3.023283,1.9959712E8,6.7020534E-4,1
365483,3.669625,3.2668604E7,0.0046669943,0
365713,2.5298831,4.4561456E7,0.0035573582,0
365821,4.416417,5.0114976E7,0.0033984005,0
365966,2.619199,3.1371696E7,0.011583501,0
366378,2.1296012,6.8500048E7,0.015601439,0
366783,2.6485982,1.21793496E8,0.0074146274,0
366992,2.6606848,3.036542E7,0.0013436126,0
367048,4.2837033,6.6817316E7,0.0013963326,0
367143,3.838188,2.7145766E7,0.0022639926,0
367406,4.049907,5.975784E7,0.011591632,0
233491,3.7536795,1.53084173E9,0.22080494,4
234331,6.1589417,2.40503869E10,0.6218271,1
235760,4.274596,4.8794537E9,0.49985844,4
236260,4.0607686,8.9359995E9,0.14546597,5
236695,2.840947,4.07731712E8,0.03666741,0
236899,3.1993043,3.0828384E8,0.0030881104,0
237114,3.244073,1.80240352E8,0.0026090152,0
237273,3.6006289,1.67056E9,0.074534915,7
237534,3.2919552,2.01523494E9,0.162789,6
237847,3.8321009,1.73329562E9,0.14470308,8
238591,3.086815,1.00714938E9,0.02698486,11
238767,2.9904883,1.49861168E8,0.009193876,0
240196,3.014463,5.470128E8,0.014514422,17
241168,2.9661164,3.28689056E8,0.026767414,5
242001,2.9541764,2.92051405E9,0.13983545,6
242403,3.3222523,1.04244122E9,0.102175236,0
243186,3.2044392,1.07715168E8,0.03646057,0
244044,3.4865422,2.88963712E8,0.011681508,11
244146,3.023362,8.9709176E7,0.009540151,18
244671,3.0115128,1.22829435E10,0.36231396,1
245350,5.0539756,8.3661481E9,0.71645224,4
245819,3.4968405,2.3639447E9,0.20901874,3
246425,3.1161754,2.65818291E9,0.2387451,6
246686,1.9664932,2.3366176E8,0.08947256,32
246800,4.500127,1.25035397E10,0.51761025,5
247589,3.585355,3.38474368E9,0.102503136,2
247998,2.6472654,1.95735327E10,0.39593455,1
248932,4.4775767,1.78597133E9,0.04810818,0
249983,3.5835807,4.84186944E8,0.005498532,9
250847,3.0827,1.02084472E8,0.012990932,0
251040,3.0658355,2.3474404E7,0.010092429,0
251279,3.3386214,1.59056464E8,0.0016225872,0
251325,3.3546834,3.4448288E7,0.003642301,0
251570,2.8588028,4.0942636E7,0.0022330456,0
251675,2.970669,2.0651714E7,0.0014741116,0
251775,2.6952147,6196373.5,0.0017200897,0
252026,2.688963,6.7320192E7,0.0014661879,0
252452,4.13438,7.1391928E7,0.0035305247,0
252525,3.8309603,5.0060396E7,0.0015144848,0
252694,2.7969391,8570675.0,0.0015083842,0
252735,2.4830947,3.4849148E7,0.013862964,0
253181,2.6581397,3.8793428E7,0.036324948,0
253537,3.6083467,8.7188464E7,0.018964069,0
253821,2.3510766,3.4822488E7,6.8862754E-4,0
253913,3.4993405,1.131002E7,0.006578074,0
254387,3.2100675,2.2781026E7,7.1765506E-4,0
254900,0.93997014,1.743811E7,0.021198539,0
255566,2.9743319,2.5858486E7,0.003886163,0
255681,1.2866585,8425842.0,0.03465972,0
256579,3.1086035,5.6552064E7,0.016065491,0
256656,3.1434944,2.58992336E8,0.01249129,0
257477,3.185905,3.2833876E7,7.0244906E-4,0
258412,2.8672256,1.24343768E8,0.0037963018,0
258980,3.3193893,3.1893112E7,0.0024347324,0
259062,2.2399948,2.9050352E7,0.010863956,0
259195,3.28285,6.5982044E7,0.003110681,0
259566,5.62693,2.7595886E7,0.0044695125,0
260645,4.5255785,1.9480254E7,0.0022384203,0
260709,2.153537,8623071.0,0.0071752183,0
260861,2.6453948,5.7773668E7,0.004816679,0
260934,3.9401407,7365496.0,0.002329229,1
261199,2.343755,6.0453184E7,0.009514224,0
261276,2.6159174,7.7236448E7,0.0032555046,0
261732,4.5912886,2.724858E7,0.010807422,0
262617,1.7763516,1.920256E7,0.0077920137,0
262682,5.2019095,5.0117164E7,0.005613015,0
262921,7.502624,6695043.0,0.013010294,0
263309,3.413473,6.165762E7,0.00464067,0
263486,3.3158405,5.4206828E7,0.0030018082,0
263550,2.5986404,8.420808E7,0.0023049254,0
263632,4.20816,4.5217288E7,0.012833013,0
264033,3.4149764,4.7471672E7,6.8377703E-4,0
264115,3.6676717,3.4127804E7,0.0047511384,0
264261,2.5939536,5.8533588E7,0.008705424,0
264496,3.2746806,1.37230448E8,0.005708333,0
264577,3.5971642,7.5057352E7,7.685015E-4,0
264745,3.8473783,4.8560444E7,0.0013799708,0
264808,1.7825907,3.2776496E7,0.011182472,0
264976,3.477943,2.8823682E7,0.0064785397,0
265067,4.400345,2.532555E7,0.009436937,0
265324,2.4250443,6.53986E7,0.011535751,0
265748,3.3932364,3.5201804E7,0.007305163,0
266053,3.095545,6.247996E7,0.006904358,0
266418,1.4301767,1.4295453E7,0.009055658,0
266693,2.8881447,3.4709812E7,0.013172753,0
266812,3.3860729,1.19079528E8,0.003696023,0
266929,2.456915,4.0165876E7,0.005255671,0
267253,1.6482373,4.4268816E7,0.012643943,0
267451,4.1457205,2.1252698E7,6.4816995E-4,0
268259,3.4620516,3.2652206E7,0.020673515,0
268332,3.32069,8.2608608E7,0.0024727616,0
268612,8.051185,2.1602284E7,0.0027949193,0
269154,2.2221324,1.7707684E7,0.011836345,0
269647,13.202644,2.9225174E7,0.011314259,0
270356,5.6821117,3.9531176E7,0.0044789216,0
270710,3.8135896,5.5160344E7,0.019885814,0
270801,3.1308663,2.8127546E7,0.015388325,0
270941,2.4192417,4.1483E7,0.0013681658,0
271042,2.8597105,5.5425316E7,0.012018336,0
271161,1.5299293,8.205E7,0.0379573,0
271669,2.86222,3.3531248E7,7.148337E-4,0
271856,2.7554107,1.00071504E8,0.0017842946,0
271924,2.9478054,2.1985562E7,6.8594667E-4,0
272450,2.190441,7840747.0,0.0045402064,1
272525,7.34574,4.5192964E7,0.016164852,0
272887,3.8825986,3.0668952E7,0.007416846,0
273030,4.755611,2.3627226E7,0.006134266,0
273117,1.6638349,2077761.8,0.0015901485,0
273431,2.8745975,1.7206446E7,7.4198766E-4,0
273610,2.829465,9.8570168E7,0.0044508628,0
273793,3.8727098,3.7168044E7,0.004937544,0
273877,2.4225674,4.1029048E7,0.0014464569,0
273920,3.837806,1.49532208E8,0.0032883328,0
275051,2.9423072,7.5090712E7,0.006397868,0
275378,2.6300166,4.748464E7,0.0040376587,0
275520,0.8922366,2.2697176E7,0.013942324,0
275728,4.317953,4.88343E7,0.004308175,0
275824,2.5322666,1.1937442E7,0.008685612,0
276378,3.232341,4.8006972E7,0.0036777526,0
276451,3.6740022,8.26508E7,0.009150624,0
276946,4.9812803,9417672.0,0.0015566031,0
277615,3.8778734,3.763586E7,0.003162135,0
277786,4.1610475,3.4138412E7,0.0072840303,0
278571,2.7009077,1.04727104E8,0.017762398,0
279036,3.1827307,3.5011908E7,0.007421662,0
279147,3.1094406,1.05868328E8,8.27065E-4,0
279561,3.9216816,1.824276E7,8.381592E-4,0
279739,2.579696,2.5497074E7,0.0036690894,0
279997,2.761144,1.58922624E8,0.0106944945,0
280449,2.201114,7.9492584E7,0.010827488,0
280514,4.3112197,4.8093808E7,7.263586E-4,0
280804,2.6706865,7.4161448E7,0.013726441,0
280947,3.5441947,3.1478638E7,0.0038384327,0
281215,3.1180222,3.7632072E7,0.0037849334,0
281284,4.1228724,3.0801814E7,0.0022246556,0
281362,2.1031215,5.960722E7,8.1105303E-4,0
281948,3.412662,4.872966E7,0.008269509,0
282018,2.9975822,3.847212E7,0.0053122276,0
282217,3.8860557,3.1280368E7,0.014501418,0
282288,4.577449,2.8139862E7,0.002910019,0
282356,4.0367827,1.26834232E8,0.0031759306,0
282658,3.2594228,4.1688816E7,0.017041756,0
282764,2.5877714,4.6794504E7,0.003733807,0
282864,3.8384953,2.7113972E7,0.0021710163,0
282953,2.1425023,5.6308648E7,0.0085116215,0
283044,3.2299218,8.935028E7,7.431964E-4,0
283563,3.3076155,6.177226E7,0.012653285,0
283996,4.4231563,3.6166524E7,0.0021731728,0
284296,2.5427816,2.8313766E7,0.0049445527,0
284631,2.712939,5.4704432E7,0.0033689104,0
284769,2.512275,2.8824658E7,6.695877E-4,0
284852,1.74481,3.471112E7,0.0049399426,0
284967,2.908458,5.6189148E7,0.0027957512,0
285399,1.6461221,3.129988E7,0.0013294283,0
286485,3.527043,3.6929412E7,0.005166989,0
286745,1.7786275,2.7886008E7,0.009401406,0
286957,4.174892,3.0982E7,0.017706022,0
367631,3.091441,1.4585992E7,0.0014473211,0
367842,4.2942657,1.1025806E7,0.0038062893,0
368086,5.160292,3.6063884E7,0.004202094,0
368408,2.8409367,4.6016644E7,0.004595291,0
369298,1.4786558,4.98655E7,0.01738476,0
370179,2.6046658,4.0322828E7,0.009530428,0
370438,2.773782,2.7016622E7,0.0056904745,0
371194,2.6741276,2.9106238E7,0.0057753013,0
371418,2.722277,2.69177E7,0.0056462935,0
371504,2.8638349,6.7211424E7,0.00952115,0
372176,4.922034,2.5235866E7,0.0050166277,0
372271,3.637434,3.2127488E7,0.0031441087,0
372831,3.0999548,6.0589616E7,0.0023513767,0
372912,0.7394247,7191689.0,0.009121406,1
373020,1.6136158,1.8954974E7,0.018264096,0
373167,2.8318994,3.882434E7,0.00706372,0
373296,2.7806551,1.6303138E7,0.004566177,0
373427,2.2654774,9.909492E7,0.008228957,0
373666,3.3599768,7.9801472E7,0.011602544,0
373721,2.8799555,7.3938288E7,0.014109549,0
373898,3.3239765,4.482124E7,0.0066173305,0
373984,4.7394185,4.7608184E7,8.3017553E-4,0
374143,2.9307528,3.5942352E7,0.006447585,0
374339,7.2756047,1.5919068E7,0.0024415068,0
374449,2.8062725,5.235942E7,0.005330257,0
374967,2.136325,6620771.5,0.006923876,0
375410,2.9434092,1.07128096E8,7.9227344E-4,0
375558,5.479584,3.7677144E7,7.6342677E-4,0
376045,2.525831,3.9983076E7,0.004620956,0
376780,4.8204565,6.5360312E7,0.0012788101,0
377078,4.351016,2.2229406E7,0.0029969928,0
377345,2.2645783,5.8288068E7,7.9880527E-4,0
377659,2.153163,4.7894016E7,0.014270174,0
